blkgrp,area_median_income,ht_rent
'110010096022',89826,41.35995125
'110010096031',89826,45.78115375
'110010096032',89826,37.4192925
'110010096033',89826,39.51933625
'110010096041',89826,41.25850375
'110010096042',89826,43.4728725
'110010097001',89826,44.9241925
'110010097002',89826,45.24507875
'110010098011',89826,48.35117625
'110010098021',89826,40.70994625
'110010098022',89826,47.21934125
'110010098031',89826,44.59287
'110010098032',89826,44.05002375
'110010098033',89826,35.9428625
'110010098041',89826,49.6195525
'110010098042',89826,48.2234825
'110010098071',89826,40.6748375
'110010098072',89826,47.74870875
'110010098101',89826,39.71494875
'110010098102',89826,37.3774625
'110010098111',89826,39.2264425
'110010098112',89826,42.4376225
'110010099011',89826,51.6204925
'110010099012',89826,59.25533125
'110010099021',89826,51.9655825
'110010099022',89826,53.33821375
'110010099031',89826,47.25155875
'110010099032',89826,54.07477125
'110010099041',89826,42.02268
'110010099042',89826,40.9306475
'110010099051',89826,44.679795
'110010099052',89826,46.6134875
'110010099053',89826,45.639495
'110010099061',89826,47.37274
'110010099071',89826,46.60788875
'110010099072',89826,35.84772875
'110010101001',89826,52.18044875
'110010101002',89826,43.66288625
'110010102001',89826,49.56427
'110010102002',89826,50.71780875
'110010103001',89826,47.013735
'110010103002',89826,50.13147625
'110010103003',89826,50.25764
'110010104001',89826,49.93036375
'110010104002',89826,41.02505875
'110010105001',89826,48.2814975
'110010105002',89826,51.93670875
'110010106001',89826,53.0862325
'110010106002',89826,53.78491375
'110010106003',89826,53.66306625
'110010107001',89826,56.8282475
'110010107002',89826,54.729425
'110010108001',89826,47.911805
'110010108002',89826,50.6443375
'110010108003',89826,48.10881625
'110010109001',89826,41.78388125
'110010109002',89826,45.7443175
'110010110001',89826,45.83572625
'110010110002',89826,52.9406875
'110010110003',89826,55.55403
'110010110004',89826,46.64116
'110010111001',89826,41.856565
'110010111002',89826,51.39083
'110010111003',89826,51.57718625
'240098601011',89826,62.9968425
'240098601012',89826,56.31474375
'240098601021',89826,62.16333875
'240098601022',89826,58.25425625
'240098602001',89826,61.190035
'240098602002',89826,59.86551125
'240098603001',89826,58.81730375
'240098603002',89826,54.21184375
'240098603003',89826,71.8858725
'240098604011',89826,54.54778
'240098604012',89826,48.30993875
'240098604013',89826,54.85210875
'240098604014',89826,74.63143
'240098604021',89826,62.67266875
'240098604022',89826,48.07102
'240098605011',89826,68.849305
'240098605012',89826,53.72548
'240098605021',89826,58.75925625
'240098605022',89826,60.3380075
'240098606001',89826,66.7882975
'240098606002',89826,48.828025
'240098606003',89826,47.64418875
'240098607011',89826,57.2011575
'240098607021',89826,53.2757175
'240098607022',89826,51.7336225
'240098607031',89826,58.5807875
'240098607032',89826,53.13651
'240098608011',89826,58.1051275
'240098608012',89826,51.59088
'240098608013',89826,55.31238625
'240098608021',89826,56.21922125
'240098608022',89826,53.59176625
'240098608023',89826,58.1862275
'240098609001',89826,52.51780375
'240098609002',89826,61.1315875
'240098609003',89826,46.3826575
'240098609004',89826,59.7297125
'240098610011',89826,56.97864125
'240098610031',89826,51.71191625
'240098610032',89826,55.8139525
'240098610033',89826,50.66827375
'240098610041',89826,54.3092525
'240098610042',89826,55.7633125
'240098610043',89826,56.6709525
'240178501011',89826,61.19900875
